sample_accession,attribute_tag,attribute_value
SAMN37571897,biosamplemodel,MIMS.me
SAMN37571897,biosamplemodel,MIGS/MIMS/MIMARKS.soil
SAMN37571897,ena_first_public,2023-09-28
SAMN37571897,ena_last_update,2023-09-28
SAMN48884674,altitude,431m
SAMN48884674,collection_date,2024-05-17
SAMN48884674,insdc_secondary_accession,SRS25286994
SAMN48884674,extreme_event,hot Days
SAMN48884674,organism,soil metagenome
SAMN48884674,annual_precpt,625milimeter or 25 inch
SAMN48884674,agrochem_addition,Sandy soil
SAMN48884674,env_broad_scale,Soil collected from garden containing grass
SAMN48884674,cur_vegetation_meth,Herbs/Shrubs
SAMN48884674,env_local_scale,soil as control sample
SAMN48884674,ncbi_submission_package,MIMS.me.soil.6.0
SAMN48884674,depth,Surface
SAMN48884674,annual_temp,24 C
SAMN48884674,al_sat_meth,NA
SAMN48884674,al_sat,NA
SAMN48884674,elev,441
SAMN48884674,collection_method,Spatula
SAMN48884674,geo_loc_name,India: Jaipur
SAMN48884674,env_medium,ENVO:00010483
SAMN48884674,lat_lon,27.17797 N 75.9605 E
SAMN48884674,biosamplemodel,MIMS.me
SAMN48884674,biosamplemodel,MIGS/MIMS/MIMARKS.soil
SAMN48884674,ena_first_public,2025-08-20
SAMN48884674,ena_last_update,2025-08-20
SAMN49039023,collection_date,2022-12-04
SAMN49039023,insdc_secondary_accession,SRS25363423
SAMN49039023,ncbi_submission_package,MIMS.me.soil.6.0
SAMN49039023,depth,10 cm
SAMN49039023,organism,metagenome
SAMN49039023,elev,3 m
SAMN49039023,env_broad_scale,Soil
SAMN49039023,geo_loc_name,India: Thiruvarur
SAMN49039023,env_medium,Soil
SAMN49039023,lat_lon,10.7730 N 79.6370 E
SAMN49039023,env_local_scale,Soil
SAMN49039023,biosamplemodel,MIMS.me
SAMN49039023,biosamplemodel,MIGS/MIMS/MIMARKS.soil
SAMN49039023,ena_first_public,2025-10-10
SAMN49039023,ena_last_update,2025-10-10
SAMN49039022,collection_date,2022-12-04
SAMN49039022,insdc_secondary_accession,SRS25363422
SAMN49039022,ncbi_submission_package,MIMS.me.soil.6.0
SAMN49039022,depth,10 cm from the topsoil
SAMN49039022,organism,metagenome
SAMN49039022,elev,3 m
SAMN49039022,env_broad_scale,Soil
SAMN49039022,geo_loc_name,India: Thiruvarur
SAMN49039022,env_medium,Soil
SAMN49039022,lat_lon,10.7730 N 79.6370 E
SAMN49039022,env_local_scale,Soil
SAMN49039022,biosamplemodel,MIMS.me
SAMN49039022,biosamplemodel,MIGS/MIMS/MIMARKS.soil
SAMN49039022,ena_first_public,2025-10-10
SAMN49039022,ena_last_update,2025-10-10
SAMN49039021,collection_date,2023-03-08
SAMN49039021,insdc_secondary_accession,SRS25363421
