similarity_rank,sample_a,sample_b,genus_braycurtis_distance
199,SRR5365029,SRR9093167,0.8356825652696136
200,SRR33963324,SRR5365029,0.8363434329898946
201,SRR33963322,SRR5365029,0.8366301954121342
202,SRR1825760,SRR33963319,0.8366568003381527
203,SRR1825760,SRR33963321,0.8396055936632492
204,SRR12376372,SRR13396075,0.8403289419173098
205,SRR12376372,SRR5365029,0.8416823962009856
206,SRR1825760,SRR9830591,0.8439292450227771
207,SRR1825760,SRR26201960,0.8453468163979959
208,SRR26201961,SRR9830591,0.8465619466297867
209,SRR26201959,SRR9830591,0.8466168976221143
210,SRR1825760,SRR33963322,0.8494939200217906
211,SRR13342225,SRR26201961,0.8496157519912401
212,SRR13342225,SRR26201959,0.8501652203072217
213,SRR13396103,SRR26201961,0.8502760910355174
214,SRR26201961,SRR33963324,0.8505198828044114
215,SRR26201959,SRR33963324,0.850588564774122
216,SRR26201960,SRR33963317,0.8508677978805006
217,SRR13396103,SRR26201959,0.850997159869078
218,SRR26201959,SRR33853917,0.8521535118747497
219,SRR26201961,SRR33853917,0.8523431377993348
220,SRR26201961,SRR33963322,0.8526714753827044
221,SRR26201959,SRR33963322,0.8527313554438363
222,SRR26201959,SRR33963323,0.8538286784521176
223,SRR26201959,SRR33963320,0.8539291596159201
224,SRR26201961,SRR33963323,0.8540187569602342
225,SRR26201961,SRR33963320,0.8540488114069995
226,SRR26201959,SRR33963319,0.8560062605973692
227,SRR26201961,SRR33963319,0.8563057963170027
228,SRR12376372,SRR26201961,0.8566013953539823
229,SRR1825760,SRR33963317,0.8567710968568272
230,SRR1825760,SRR33853917,0.8569630434253734
231,SRR12376372,SRR26201959,0.8569861877142507
232,SRR1825760,SRR33963323,0.8615509250858724
233,SRR26201959,SRR33963318,0.8621040377755453
234,SRR26201961,SRR33963318,0.8623725907769814
235,SRR12376372,SRR1825760,0.8627084653004514
236,SRR26201961,SRR9093167,0.8632550796265803
237,SRR26201959,SRR9093167,0.8634849854786577
238,SRR33963321,SRR5365029,0.8649096506535711
239,SRR26201960,SRR9830591,0.8649686637573638
240,SRR26201960,SRR33963323,0.8661114327557973
241,SRR26201960,SRR33963320,0.8672518966406231
242,SRR26201961,SRR33963321,0.8680096283037987
243,SRR26201959,SRR33963321,0.8682331967817003
244,SRR26201960,SRR33963319,0.8690546916553044
245,SRR26201960,SRR33853917,0.8692893976741761
246,SRR26201960,SRR33963324,0.8713515096321536
247,SRR26201960,SRR33963322,0.8731959360684647
248,SRR13342225,SRR26201960,0.8738553500815526
249,SRR1825760,SRR9093167,0.8743408482995813
250,SRR13396103,SRR26201960,0.8745473712834327
251,SRR12376372,SRR26201960,0.8826145691881394
252,SRR26201960,SRR33963318,0.8867168550555004
253,SRR26201960,SRR9093167,0.8867896665171239
254,SRR26201960,SRR33963321,0.8871113852030903
255,SRR13396075,SRR8468865,0.8886363636363636
256,SRR13396075,SRR33963320,0.8989294269393769
257,SRR13396075,SRR33963323,0.8990426925994891
258,SRR13396075,SRR33963321,0.9035852278791758
259,SRR13396075,SRR33963319,0.9135595231769308
260,SRR13396075,SRR33963322,0.9319853867472917
261,SRR13396075,SRR33963324,0.9330671989354625
262,SRR13396075,SRR13396103,0.9338134384243056
263,SRR13342225,SRR13396075,0.9342198761714767
264,SRR13396075,SRR33963317,0.9354028204752843
265,SRR13396075,SRR33963318,0.9459048479373681
266,SRR13396075,SRR9093167,0.9492592592592594
267,SRR13396075,SRR9830591,0.953804713804714
268,SRR13396075,SRR33853917,0.9684741295602719
269,SRR13396075,SRR23183368,0.9707084088453265
270,SRR13396075,SRR23183348,0.9707201793167978
271,SRR13396075,SRR23183349,0.9728628804273671
272,SRR13396075,SRR5365029,0.9745903777220554
273,SRR13396075,SRR26201961,0.9822962556186068
274,SRR13396075,SRR26201959,0.9824821248449952
275,SRR13396075,SRR26201960,0.982541913829488
276,SRR13396075,SRR1825760,0.9882893427117101
