srr_id,run_accession,sample_accession,secondary_sample_accession,study_accession,experiment_accession,library_layout,library_source,scientific_name,fastq_ftp,fastq_md5,fastq_bytes,sample_title,remote_fastq_total_bytes,remote_fastq_url_count
SRR26201961,SRR26201961,SAMN37571897,SRS18998440,PRJNA689214,SRX21913273,SINGLE,METAGENOMIC,metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/061/SRR26201961/SRR26201961_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/061/SRR26201961/SRR26201961_2.fastq.gz,f252958f2d052eddce74852973628199;def1caa9a35c6ee68f5ca03e4a0eab07,88697488;92303192,sample1,181000680,2
SRR33853917,SRR33853917,SAMN48884674,SRS25286994,PRJNA1271714,SRX29073802,PAIRED,METAGENOMIC,soil metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR338/017/SRR33853917/SRR33853917_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR338/017/SRR33853917/SRR33853917_2.fastq.gz,7082347656f908cb5b24c306039497c8;efb3c1427777cdd08f13269fca1118dd,1388638284;1413550410,Garden Soil,2802188694,2
SRR33963317,SRR33963317,SAMN49039023,SRS25363423,PRJNA1276251,SRX29162121,PAIRED,GENOMIC,metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/017/SRR33963317/SRR33963317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/017/SRR33963317/SRR33963317_2.fastq.gz,fb9c8f2c5b8278735354630ecafe99dc;5b5eb3faa3b956963899296b344ad8f7,4748173695;5307862583,MIMS Environmental/Metagenome sample from metagenome,10056036278,2
SRR33963318,SRR33963318,SAMN49039022,SRS25363422,PRJNA1276251,SRX29162120,PAIRED,GENOMIC,metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/018/SRR33963318/SRR33963318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/018/SRR33963318/SRR33963318_2.fastq.gz,d3fe8411c6f1be1a2d847080c1ef5cd4;ce65577d5f1c14d3780e81b8e63b65e7,3867161847;4267699252,MIMS Environmental/Metagenome sample from metagenome,8134861099,2
SRR33963319,SRR33963319,SAMN49039021,SRS25363421,PRJNA1276251,SRX29162119,PAIRED,GENOMIC,metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/019/SRR33963319/SRR33963319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/019/SRR33963319/SRR33963319_2.fastq.gz,a853accd2112895ffb24a2d38c26dfde;7fca4f187409dc42d0c289f5cd0147d7,1223957115;1331615908,MIMS Environmental/Metagenome sample from metagenome,2555573023,2
SRR33963320,SRR33963320,SAMN49039020,SRS25363420,PRJNA1276251,SRX29162118,PAIRED,GENOMIC,metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/020/SRR33963320/SRR33963320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/020/SRR33963320/SRR33963320_2.fastq.gz,bbd3af0d207ae218ad526142a954eddc;0b68311eb39af22b0101e5cddd20f7b9,1094796932;1188349266,MIMS Environmental/Metagenome sample from metagenome,2283146198,2
SRR33963321,SRR33963321,SAMN49039019,SRS25363419,PRJNA1276251,SRX29162117,PAIRED,GENOMIC,metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/021/SRR33963321/SRR33963321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/021/SRR33963321/SRR33963321_2.fastq.gz,4b14f24de87202554773cb64fef5bbde;def803ab1d1acc224f066fc331d1fbab,1570792338;1678943281,MIMS Environmental/Metagenome sample from metagenome,3249735619,2
SRR33963322,SRR33963322,SAMN49039018,SRS25363418,PRJNA1276251,SRX29162116,PAIRED,GENOMIC,metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/022/SRR33963322/SRR33963322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/022/SRR33963322/SRR33963322_2.fastq.gz,a60f3f9f2bb8bb3d5dc6303d8919f8a4;ec0471125ecbbb557fe94b5960301d3c,919639430;927664426,MIMS Environmental/Metagenome sample from metagenome,1847303856,2
SRR33963323,SRR33963323,SAMN49039017,SRS25363417,PRJNA1276251,SRX29162115,PAIRED,GENOMIC,metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/023/SRR33963323/SRR33963323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/023/SRR33963323/SRR33963323_2.fastq.gz,a308b3d4bb540d0b3dbe113c0a72eaa4;383de17ecc899157cc8615db238038d0,698478981;702937188,MIMS Environmental/Metagenome sample from metagenome,1401416169,2
SRR33963324,SRR33963324,SAMN49039016,SRS25363416,PRJNA1276251,SRX29162114,PAIRED,GENOMIC,metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/024/SRR33963324/SRR33963324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/024/SRR33963324/SRR33963324_2.fastq.gz,df4785b5d0c8fa2cf7bd3acdcc1e14be;b164faf4d01c434f493b97a542bf306e,920874446;930824025,MIMS Environmental/Metagenome sample from metagenome,1851698471,2
SRR5365029,SRR5365029,SAMN06606462,SRS2062634,PRJNA379362,SRX2660456,PAIRED,METAGENOMIC,rhizosphere metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/009/SRR5365029/SRR5365029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR536/009/SRR5365029/SRR5365029_2.fastq.gz,15ce560e31214ddf2e65723d50b6a67f;9f2e2b2098e480308d66035958d92adb,130820877;168398912,Metagenome or environmental sample from FERN rhizosphere of Indian Sunderbans,299219789,2
SRR8468865,SRR8468865,SAMN10786231,SRS4275454,PRJNA516299,SRX5275271,SINGLE,METAGENOMIC,soil metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR846/005/SRR8468865/SRR8468865_1.fastq.gz,d3a4d59b07cdaeaf2f5884592b8f00c2,37858517,Wheat Rhizosphere Metagenome,37858517,1
SRR9093167,SRR9093167,SAMN11772500,SRS4791340,PRJNA543600,SRX5868222,PAIRED,METAGENOMIC,soil metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR909/007/SRR9093167/SRR9093167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR909/007/SRR9093167/SRR9093167_2.fastq.gz,79f93d44d5d7a2356376ad883a878c32;227b056a7803bf10d43957370d0084d0,2715054810;3312914698,GSDNA,6027969508,2
SRR9830591,SRR9830591,SAMN12139125,SRS5152733,PRJNA551105,SRX6587040,PAIRED,METAGENOMIC,soil metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/SRR983/001/SRR9830591/SRR9830591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR983/001/SRR9830591/SRR9830591_2.fastq.gz,7efaccb718d7241ff46e45eeb1d8e681;27b7ec3edb895020dd8f874c37b45501,1704436060;1740871084,Metagenome or environmental sample from SOIL,3445307144,2
