sample,P|Proteobacteria,P|Actinobacteria,P|Firmicutes,P|Deinococcus-Thermus,P|Cyanobacteria,P|Chloroflexi,P|Armatimonadetes,P|Tenericutes,P|Coprothermobacterota,P|Gemmatimonadetes,P|Bacteroidetes,P|Chlorobi,P|Ignavibacteriae,P|Fibrobacteres,P|Planctomycetes,P|Verrucomicrobia,P|Kiritimatiellaeota,P|Lentisphaerae,P|Chlamydiae,P|Acidobacteria,P|Nitrospirae,P|Spirochaetes,P|Synergistetes,P|Aquificae,P|Thermotogae,P|Candidatus Saccharibacteria,P|Candidatus Gracilibacteria,P|Fusobacteria,P|Calditrichaeota,P|Elusimicrobia,P|Dictyoglomi,P|Thermodesulfobacteria,P|Chrysiogenetes,P|Deferribacteres,P|Chordata,P|Euryarchaeota,P|Thaumarchaeota
SRR26201961,0.44508293013000527,0.2368474240201746,0.2994341963267062,0.17060060138193794,0.12586981723487378,0.17197090935014459,0.030640772537152396,0.11667658571566933,0.0,0.06408977390989624,0.19012099372355026,0.018763564510176824,0.0,0.010833149020907498,0.5994559987401386,0.267339642935529,0.018763564510176824,0.015320386268576198,0.1010448872566022,0.22542322854594835,0.0573236364500482,0.034257425138090734,0.015320386268576198,0.015320386268576198,0.03752712902035365,0.1424878288264991,0.04333259608362999,0.0,0.0,0.03752712902035365,0.015320386268576198,0.010833149020907498,0.0,0.0286618182250241,0.053071374817509086,0.0,0.0
SRR33853917,0.6494233312177609,0.6473778983222044,0.15450786078738143,0.063077570029677,0.063077570029677,0.051502620262460476,0.0,0.0,0.0,0.08920515501750789,0.08143279274805704,0.0,0.0,0.0,0.12078435087562306,0.063077570029677,0.0,0.0,0.0,0.08920515501750789,0.03641785203646149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2600754838396532,0.063077570029677,0.10300524052492095
SRR33963317,0.7269492998503029,0.6268603748358126,0.11640504929492972,0.06375767130633384,0.06375767130633384,0.05205792062953536,0.0,0.0,0.0,0.06375767130633384,0.09016696346674323,0.0,0.0,0.0,0.12208664567220494,0.06375767130633384,0.0,0.0,0.0,0.11043152607484655,0.03681050869161552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08231079972079915,0.05205792062953536,0.0
SRR33963318,0.5950854387922562,0.7524751224996122,0.17248327410635833,0.06927094983730746,0.053657047019172226,0.06195782108087899,0.0,0.0,0.0,0.053657047019172226,0.10274542267662382,0.030978910540439494,0.0,0.0,0.08196249317772046,0.04381079543383236,0.0,0.0,0.0,0.053657047019172226,0.030978910540439494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053657047019172226,0.09293673162131848,0.0
SRR33963319,0.6803445958293948,0.6728267452283748,0.13902728495278482,0.06379009321094968,0.055243841230459674,0.07131949235536567,0.0,0.0,0.0,0.055243841230459674,0.09021281496396893,0.03189504660547484,0.0,0.0,0.09568513981642453,0.055243841230459674,0.0,0.0,0.0,0.07131949235536567,0.03189504660547484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12758018642189936,0.07812658950570205,0.0
SRR33963320,0.7389797122852528,0.61296760780216,0.144925845118911,0.059165728513825996,0.048308615039637,0.059165728513825996,0.0,0.0,0.0,0.048308615039637,0.10247804785277327,0.03415934928425776,0.0,0.0,0.096617230079274,0.048308615039637,0.0,0.0,0.0,0.07638262706675913,0.03415934928425776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06831869856851552,0.10247804785277327,0.0
SRR33963321,0.608793372688444,0.7200566078313,0.23010226627969782,0.0632139541241014,0.044699015626767424,0.044699015626767424,0.0,0.0,0.0,0.0316069770620507,0.12241329578528219,0.0316069770620507,0.0,0.0,0.0632139541241014,0.0316069770620507,0.0,0.0,0.0,0.0316069770620507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07067534927402196,0.14484136487558028,0.0316069770620507
SRR33963322,0.6476330530698471,0.6598701170901523,0.1723783214742669,0.05855400437691199,0.05855400437691199,0.05855400437691199,0.0,0.0,0.0,0.06761234037828132,0.08944271909999157,0.03380617018914066,0.0,0.0,0.1121223821162776,0.05855400437691199,0.0,0.0,0.0,0.07559289460184544,0.03380617018914066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2484236013632475,0.07559289460184544,0.03380617018914066
SRR33963323,0.6767608509243365,0.6600723733483645,0.11455723277057846,0.06274558051381586,0.0810041961260418,0.06274558051381586,0.0,0.0,0.0,0.07245235560022184,0.0810041961260418,0.0,0.0,0.0,0.12014863935167032,0.06274558051381586,0.0,0.0,0.0,0.08873565094161137,0.03622617780011092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18471798750564733,0.06274558051381586,0.03622617780011092
SRR33963324,0.6443098130054634,0.6681964430363923,0.2180999027225083,0.06575959492214292,0.056949479745149946,0.06575959492214292,0.0,0.0,0.0,0.07352146220938079,0.11854979567276384,0.03287979746107146,0.0,0.0,0.10397504898200728,0.056949479745149946,0.0,0.0,0.0,0.07352146220938079,0.03287979746107146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16765472885698188,0.09299811099505544,0.03287979746107146
SRR5365029,0.6560082724043086,0.2686917047047696,0.29988888086329396,0.048709478174560256,0.12843407361079817,0.25332496859375464,0.06377567737049193,0.045096213943440294,0.010629279561748656,0.09914331953367948,0.21417404862572384,0.015032071314480097,0.045096213943440294,0.010629279561748656,0.2887566605176997,0.22523039585458188,0.021258559123497313,0.028122430336168566,0.047535583303838336,0.3047472100766239,0.10735046142511165,0.07810893377903462,0.03361273330180212,0.023767791651919168,0.021258559123497313,0.038324412481126176,0.010629279561748656,0.026036311259678206,0.010629279561748656,0.05097623399233781,0.021258559123497313,0.031887838685245966,0.0,0.023767791651919168,0.015032071314480097,0.05207262251935641,0.0
SRR8468865,0.8325139296609054,0.18099732804666693,0.3358829599985132,0.04524933201166673,0.11447276140642848,0.10118058231454412,0.02023611646290882,0.04956815970966097,0.0,0.06070834938872647,0.18656777537274438,0.04292728552741068,0.02023611646290882,0.02023611646290882,0.02861819035160712,0.04047223292581764,0.0,0.0,0.024784079854830485,0.26268006966806406,0.05541888731518408,0.05899791081685419,0.03199610950961107,0.03199610950961107,0.03785830732153028,0.01430909517580356,0.0,0.02023611646290882,0.01430909517580356,0.024784079854830485,0.03199610950961107,0.02861819035160712,0.024784079854830485,0.024784079854830485,0.06862400971420068,0.024784079854830485,0.0
SRR9093167,0.8603464874289736,0.38027337947489165,0.11070186069251194,0.04950737714883373,0.07001400420140051,0.04950737714883373,0.0,0.0,0.0,0.07001400420140051,0.09901475429766746,0.0,0.0,0.0,0.11070186069251194,0.08574929257125444,0.0,0.0,0.0,0.13098420799889599,0.04950737714883373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19174124721184266,0.04950737714883373,0.0
SRR9830591,0.7810920955771589,0.5583237885064564,0.09763651194714486,0.06175075210944385,0.053477720029573884,0.04366437555995725,0.0,0.0,0.0,0.0873287511199145,0.09262612816416577,0.030875376054721924,0.0,0.0,0.09262612816416577,0.06903943968922749,0.0,0.0,0.0,0.09763651194714486,0.030875376054721924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1273024367042848,0.053477720029573884,0.0
