sample,species_richness_raw,genus_richness_raw,shannon_diversity_raw,simpson_diversity_raw,evenness_raw,dominant_taxon_proportion_raw,unclassified_proportion_raw,classification_completeness_raw,genus_hellinger_centroid_distance_raw,species_richness_minmax,genus_richness_minmax,richness_combined_minmax,shannon_diversity_minmax,simpson_diversity_minmax,evenness_minmax,dominance_balance_minmax,classification_completeness_minmax,species_richness_percentile,genus_richness_percentile,richness_combined_percentile,shannon_diversity_percentile,simpson_diversity_percentile,evenness_percentile,dominance_balance_percentile,classification_completeness_percentile,typicality_percentile
SRR33963319,296,237,4.750391911431496,0.977922681288004,0.8687526817225802,0.1044349070100146,0.8678,0.13219999999999998,0.5269843266985028,0.41725352112676056,0.3973509933774834,0.407302257252122,0.9169884716182694,0.9773412986658161,0.9846605556004664,0.8909147644809489,0.09020266722671424,0.5416666666666666,0.4583333333333333,0.5,0.7916666666666666,0.7916666666666666,0.875,0.7083333333333334,0.2916666666666667,0.8333333333333333
SRR33963320,245,242,4.785206679429978,0.9763522224242702,0.8717910310089351,0.1103789126853381,0.903,0.09699999999999998,0.5565025358618579,0.3274647887323944,0.4083885209713024,0.3679266548518484,0.9264621369991776,0.9726142111644352,0.9903343653658396,0.8742456066131659,0.05323952535965554,0.375,0.625,0.5,0.8333333333333334,0.7083333333333334,0.9583333333333334,0.6249999999999999,0.20833333333333334,0.7083333333333334
SRR33963321,253,239,4.515254317288487,0.9681674382716048,0.8244835877152853,0.1250000000000005,0.848,0.15200000000000002,0.6261118241768231,0.3415492957746479,0.40176600441501104,0.37165765009482943,0.8530037026983723,0.9479779779188349,0.9019925032436051,0.8332427499606978,0.1109944345269348,0.4583333333333333,0.5208333333333334,0.48958333333333337,0.5,0.4583333333333333,0.6666666666666666,0.37500000000000006,0.4583333333333333,0.5
SRR33963322,250,207,4.368530124257632,0.9596751211171272,0.8191937909372984,0.1567398119122262,0.8575,0.14249999999999996,0.5171862325300598,0.3362676056338028,0.33112582781456956,0.3336967167241862,0.813077660160369,0.9224160690998723,0.8921143431681421,0.7442327515929166,0.10101858657985924,0.4166666666666667,0.3541666666666667,0.3854166666666667,0.4166666666666667,0.2916666666666667,0.5833333333333334,0.2083333333333333,0.375,0.875
SRR33963323,195,187,4.37544768352019,0.9612822460111868,0.8364283757027211,0.1564245810055871,0.9124,0.08760000000000001,0.5139301069496031,0.23943661971830985,0.2869757174392936,0.26320616857880175,0.8149600406981032,0.9272535215001254,0.9242981858169651,0.7451167739230746,0.04336868633833876,0.16666666666666666,0.20833333333333334,0.1875,0.4583333333333333,0.4166666666666667,0.7083333333333334,0.25000000000000006,0.16666666666666666,0.9583333333333333
SRR33963324,270,226,4.657566672127422,0.9742851528606028,0.8592448296621471,0.1233283803863302,0.8518000000000001,0.1481999999999999,0.5149417851959434,0.3714788732394366,0.3730684326710817,0.37227365295525916,0.8917292122112305,0.966392323457255,0.9669056042160163,0.8379305804839479,0.10700409534810446,0.5,0.4166666666666667,0.45833333333333337,0.625,0.5833333333333334,0.7916666666666666,0.4166666666666667,0.4166666666666667,0.9166666666666666
SRR5365029,550,466,4.730331652490516,0.9761713448806896,0.7698874894367788,0.0875722004844419,0.0133,0.9867,0.7523205772992138,0.8644366197183099,0.9028697571743929,0.8836531884463514,0.9115297484502878,0.9720697690301741,0.8000398156592557,0.9382039382312021,0.9875039378347159,0.8333333333333334,0.875,0.8541666666666667,0.7083333333333334,0.6666666666666666,0.2916666666666667,0.8333333333333333,0.9583333333333334,0.25000000000000006
SRR8468865,559,430,4.92652633460983,0.9792023130988232,0.8124506665492665,0.0966999232540288,0.3817,0.6183000000000001,0.7351184978552947,0.8802816901408451,0.8233995584988962,0.8518406243198706,0.9649175167672586,0.9811929955672629,0.8795222408796518,0.9126064775068194,0.6006510553397039,0.9166666666666666,0.7916666666666666,0.8541666666666666,0.875,0.8333333333333334,0.5,0.7916666666666666,0.5416666666666666,0.37500000000000006
SRR9093167,59,105,3.7883485164444486,0.926631944444444,0.8140053269504592,0.2458333333333336,0.9537,0.04630000000000001,0.70113872374592,0.0,0.10596026490066225,0.052980132450331126,0.6552007955832696,0.8229559743069389,0.8824254118237367,0.4943820524708449,0.0,0.041666666666666664,0.08333333333333333,0.0625,0.08333333333333333,0.08333333333333333,0.5416666666666666,0.08333333333333329,0.041666666666666664,0.4166666666666667
SRR9830591,331,239,4.641233527957112,0.9717940985063726,0.8474873399495522,0.1168658698539182,0.8054000000000001,0.19459999999999988,0.5383880543541958,0.4788732394366197,0.40176600441501104,0.44031962192581536,0.8872846976737676,0.9588942398238218,0.944949682213504,0.8560538149105574,0.15572823690013637,0.625,0.5208333333333334,0.5729166666666667,0.5416666666666666,0.5416666666666666,0.75,0.4583333333333333,0.5,0.7916666666666666
